input_text,label
"I'm terrified of failing my exam tomorrow",2
"I can't stop smiling after hearing the good news",2
"utterly heartbroken over the loss",2
"filled with pure joy and euphoria",2
"disgusted by the way they acted",2
"feeling completely devastated and crushed",2
"extremely anxious about the presentation",2
"so angry I can barely speak",2
"filled with immense pride for my sister",2
"feeling lonely and forgotten",2
"overjoyed with the final result",2
"deeply ashamed of my mistake",2
"feeling incredibly blessed today",2
"so frustrated I want to cry",2
"feeling peaceful and at ease",2
"completely numb inside",2
"so thrilled about the news",2
"consumed by guilt and regret",2
"feeling miserable and hopeless",2
"so happy I could burst",2
"feeling deeply rejected",2
"absolutely delighted with the surprise",2
"feeling terrified of what comes next",2
"filled with quiet contentment",2
"so jealous of their success",2
"feeling disgusted with myself",2
"deeply saddened by the news",2
"feeling triumphant after winning",2
"utterly exhausted and drained",2
"feeling scared and vulnerable",2
"filled with hopeful anticipation",2
"feeling outraged at the decision",2
"so proud of what we accomplished",2
"feeling miserable all morning",2
"filled with bitter resentment",2
"feeling confident and empowered",2
"utterly humiliated in front of everyone",2
"feeling calm and serene",2
"so panicked I can't think straight",2
"feeling deeply loved and appreciated",2
"filled with overwhelming sorrow",2
"feeling optimistic about the future",2
"so furious my hands are shaking",2
"feeling lonely in a crowded room",2
"thrilled beyond words",2
"feeling utterly helpless",2
"filled with warm gratitude",2
"feeling miserable about the situation",2
"so happy to be back home",2
"feeling disappointed in myself",2
"filled with fierce determination",2
"feeling anxious and uneasy",2
"so proud of my child",2
"feeling completely broken",2
"filled with pure excitement",2
"feeling disgusted and offended",2
"so relieved that it's over",2
"feeling terrified and helpless",2
"filled with deep satisfaction",2
"feeling miserable and lonely",2
"so ecstatic I'm jumping up and down",2
"feeling betrayed by a close friend",2
"filled with quiet joy",2
"feeling overwhelmed and panicked",2
"so proud of how far I've come",2
"feeling deeply melancholic today",2
"filled with sheer delight",2
"feeling furious at the injustice",2
"so thankful for your help",2
"feeling miserable about the weather",2
"filled with hope and optimism",2
"feeling sick with anxiety",2
"so happy I could weep",2
"feeling isolated and hopeless",2
"filled with immense gratitude for this life",2
"feeling terrified of making a mistake",2
"so proud to be part of this team",2
"feeling utterly devastated",2
